franchise,player,pos,before_status,after_status,before_salary,after_salary,before_contractYear,after_contractYear,before_contractInfo,after_contractInfo,status_changed,contractInfo_changed,salary_changed
CBP,"Klubnik, Cade",QB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
CBP,"Kmet, Cole",TE,FL,Vet-FAA-FL,6000,6000,1,1,"CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6","CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6",Y,,
CBP,"Love, Jordan",QB,Veteran,Vet-Ext2,21000,21000,1,1,"CL 3| TCV 43K| AAV 21K| Y1-1, Y2-21, Y3-21| Ext: PG","CL 3| TCV 43K| AAV 21K| Y1-1, Y2-21, Y3-21| Ext: PG",Y,,
CBP,"Mitchell, Keaton",RB,Veteran,Vet-WW,1000,1000,2,2,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
CBP,"Pearsall, Ricky",WR,Rookie,Rookie-Draft,5000,5000,1,1,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
CBP,"Rattler, Spencer",QB,Rookie,Rookie-Draft,2000,2000,1,1,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
CBP,"Sadiq, Kenyon",TE,R,Rookie-Draft,8000,8000,3,3,"CL 3|TCV 24K|AAV 8K|Y1-8K, Y2-8K, Y3-8K|GTD: 18K|Keep Option as Y4Option =13K","CL 3|TCV 24K|AAV 8K|Y1-8K, Y2-8K, Y3-8K, Y4-13K Option|GTD: 18K",Y,Y,
CBP,"Shough, Tyler",QB,(blank),Rookie-Draft,(blank),5000,(blank),2,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
CBP,"Stowers, Eli",TE,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K|Keep Option as Y4Option =10K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K, Y4-10K Option|GTD: 11.3K",Y,Y,
CBP,"Verse, Jared",DE,Rookie,Rookie-Draft,1000,1000,1,1,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
