projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,normalized_adp,points_adp_proxy,expected_reg_points,expected_reg_ppg,action,projected_pool_ind,projected_salary_2026,projected_perceived_value,expected_points_per_1000_bid,points_model_group,points_model_samples,points_model_method
2026,0009,C-Town Chivalry,16156,"Haener, Jake",QB,NOS,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,16151,"Hooker, Hendon",QB,NYJ,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0002,CBP,17036,"Howard, Will",QB,PIT,400.0,400.0,191.17,15.162,retain_existing,0,2000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,14789,"Huntley, Tyler",QB,BAL,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,9207,"Johnson, Josh",QB,WAS,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,16149,"Levis, Will",QB,TEN,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,15702,"McKee, Tanner",QB,PHI,400.0,400.0,191.17,15.162,retain_existing,0,1000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0012,Hawks,15252,"Mills, Davis",QB,HOU,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,14067,"Minshew, Gardner",QB,KCC,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,15692,"Pickett, Kenny",QB,LVR,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0002,CBP,16586,"Rattler, Spencer",QB,NOS,400.0,400.0,191.17,15.162,retain_existing,0,2000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,7394,"Rivers, Philip",QB,IND,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0003,Gride,13124,"Rush, Cooper",QB,BAL,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0010,Blake Bombers,17030,"Ward, Cam",QB,TEN,400.0,400.0,191.17,15.162,retain_existing,0,10000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,13113,"Watson, Deshaun",QB,CLE,400.0,400.0,191.17,15.162,retain_existing,0,1000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,12610,"Wentz, Carson",QB,MIN,400.0,400.0,191.17,15.162,retain_existing,0,1000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,12140,"Winston, Jameis",QB,NYG,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,16167,"Achane, De'Von",RB,MIA,2.75,22.0,185.4,13.133,retain_existing,0,5000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,15762,"Pickens, George",WR,DAL,3.5,31.0,181.55,13.13,expiring_to_pool,1,0,20315.08,8.937,WR,312,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,17042,"Jeanty, Ashton",RB,LVR,2.9166666666666665,24.0,179.37,12.731,retain_existing,0,15000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,15754,"Olave, Chris",WR,NOS,3.8333333333333335,35.0,174.81,12.658,retain_existing,0,11000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,17071,"McMillan, Tetairoa",WR,CAR,3.9166666666666665,36.0,173.31,12.552,retain_existing,0,7000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,16194,"Rice, Rashee",WR,KCC,4.083333333333333,38.0,170.48,12.354,retain_existing,0,25000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0002,CBP,15753,"Wilson, Garrett",WR,NYJ,4.333333333333333,41.0,166.63,12.083,retain_existing,0,44000,0,,WR,312,inv_sqrt_adp_weighted_linear
