projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,status_base,cap_status_factor,salary_base,contract_year_base,contract_status_base,contract_info_base,projected_contract_year,action,projected_salary_2026,tag_eligible_ind,tag_selected_ind,tag_side,tag_salary,rookie_extend_candidate_ind,rookie_extend_selected_ind,rookie_extend_salary,adp_source_season,average_pick,normalized_adp,points_adp_proxy,adp_normalization_source,projected_pool_ind,estimated_market_value,expected_reg_points,expected_reg_ppg,points_model_group,points_model_samples,points_model_method,next_salary_method
2026,0001,L.A. Looks,15001,"Curl, Kamren",S,LAR,ROSTER,1.0,1000,1,Veteran,CL 1|,0,expiring_to_pool,0,1,0,IDP_K,4000,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,12186,"Diggs, Stefon",WR,NEP,ROSTER,1.0,20000,1,Veteran,CL 1|,0,expiring_to_pool,0,1,0,OFFENSE,32000,0,0,0,2026,149.0,13.333333333333334,149.0,sleeper_sf_slot,1,10408.38,119.35,8.767,WR,312,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,14108,"Dortch, Greg",WR,ARI,INJURED_RESERVE,0.5,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,99.02,7.342,WR,312,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,13806,"Elliott, DeShon",S,PIT,INJURED_RESERVE,0.5,1000,2,Veteran,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",1,retain_existing,1000,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,remaining_year_index
2026,0001,L.A. Looks,17144,"Emmanwori, Nick",S,SEA,ROSTER,1.0,1000,3,Rookie,CL 3| TCV 3K| AAV 1K,2,retain_existing,1000,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,15799,"Ferguson, Jake",TE,DAL,ROSTER,1.0,11000,2,Veteran,"CL 2| TCV 32K| AAV 11K, 21K| Y1-11, Y2-21| Ext: Blake, UW",1,retain_existing,21000,0,0,OFFENSE,0,0,0,0,2026,144.0,12.916666666666666,144.0,sleeper_sf_slot,0,0.0,118.36,8.464,TE,124,inv_sqrt_adp_weighted_linear,remaining_year_index
2026,0001,L.A. Looks,17120,"Green, Mike",DE,BAL,TAXI_SQUAD,0.0,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,2,retain_existing,2000,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,14860,"Jennings, Jauan",WR,SFO,ROSTER,1.0,11000,1,Veteran,CL 2| TCV 12K| AAV 11K| Y1-1 Y2-11| Ext: Creel,0,expiring_to_pool,0,1,0,OFFENSE,15000,0,0,0,2026,119.0,10.833333333333334,119.0,sleeper_sf_slot,1,11547.06,125.55,9.203,WR,312,inv_sqrt_adp_weighted_linear,fallback_second_year
2026,0001,L.A. Looks,13319,"Jones, Aaron",RB,MIN,ROSTER,1.0,5000,1,FL,"CL 2| TCV 20K| AAV 10K| Y1-15, Y2-5,",0,expiring_to_pool,0,1,0,OFFENSE,17000,0,0,0,2026,206.0,18.083333333333332,206.0,sleeper_sf_slot,1,8937.44,89.98,6.781,RB,256,inv_sqrt_adp_weighted_linear,fallback_second_year
2026,0001,L.A. Looks,16013,"Landman, Nate",LB,LAR,ROSTER,1.0,2000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16651,"Latu, Laiatu",DE,IND,TAXI_SQUAD,0.0,2000,2,Rookie,CL 3| TCV 6K| AAV 2K,1,retain_existing,2000,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,11383,"Martin, Sam",PN,CAR,ROSTER,1.0,5000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,105.44,7.834,OFFENSE_ALL,883,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16212,"Mayer, Michael",TE,LVR,TAXI_SQUAD,0.0,2000,1,Rookie,CL 3| TCV 6K| AAV 2K,0,expiring_to_pool,0,0,0,OFFENSE,0,1,0,0,2026,288.0,24.916666666666668,288.0,sleeper_sf_slot,1,7613.91,94.69,6.699,TE,124,inv_sqrt_adp_weighted_linear,
