position,season,prior_season,player_id,player_name,franchise_id,prior_team_name,team_name,prior_status,cur_status,prior_salary,cur_salary,salary_jump_x,prior_cy,cur_cy,extension_flag,restructure_flag,mym_flag,contract_info,inferred_extension_term,inferred_extension_rate,reasons
RB,2024,2023,15972,"Mason, Jordan",0001,Ulterior Warrior,Ulterior Warrior,WW,Veteran,2000,4000,2.0,1,2,0,0,0,"CL 2| TCV 8K| AAV 4K| Y1-4, Y2-4,",0,0,salary_jump_no_flag
RB,2025,2024,16178,"Mitchell, Keaton",0007,The Long Haulers,Sex Manther,Veteran,Veteran,18000,1000,0.06,1,3,0,0,0,CL 3| TCV 3K| AAV 1K,0,0,contract_year_reset_no_flag
RB,2025,2024,16752,"Davis, Isaiah",0008,Real Deal Creel,Real Deal Creel,Rookie,Veteran,1000,1000,1.0,1,3,0,0,0,CL 3| TCV 3K| AAV 1K,0,0,contract_year_reset_no_flag
WR,2019,2018,10261,"Green, A.J.",0012,C'mon Son,Hawks,Tagged,Veteran,70000,40000,0.57,1,3,0,0,0,TCV 120K,0,0,contract_year_reset_no_flag
WR,2017,2016,10271,"Jones, Julio",0009,,C-Town Chivalry,,FL RESTRUCTURE,0,91000,,0,2,0,1,0,"Ext. RB '14 TCBOO '15 CBP '16, '17 C-Town '18K [91K, 49K] (75K AAV '18)",0,0,restructure_only
WR,2018,2017,10271,"Jones, Julio",0008,C-Town Chivalry,Gordon Is The New Blackmon,FL RESTRUCTURE,FL,91000,49000,0.54,2,1,0,1,0,"Ext. RB '14 TCBOO '15 CBP '16, '17 C-Town '18 (Restructured) [91K, 49K] (75K AAV '18)",0,0,restructure_only
WR,2019,2018,10271,"Jones, Julio",0008,Gordon Is The New Blackmon,#BLM,FL,Franchise GF,49000,76000,1.55,1,1,0,0,0,"Ext. RB '14 TCBOO '15 CBP '16, '17 C-Town '18 Tag Gordon '19",0,0,salary_jump_no_flag
WR,2020,2019,10308,"Cobb, Randall",0007,Gride,Sex Manther,WW,WW,4000,22000,5.5,1,1,0,0,0,,0,0,salary_jump_no_flag
WR,2020,2019,10722,"Jeffery, Alshon",0009,Gride,C-Town Chivalry,Veteran,Veteran,26000,3000,0.12,1,3,0,0,0,TCV 9K,0,0,contract_year_reset_no_flag
WR,2019,2018,10723,"Sanu, Mohamed",0006,Cleon Ca$h,Good in Da Hood,Veteran,Veteran,1000,6000,6.0,1,2,0,0,0,"Ext. Hawks '20 [6K, 16K] TCV 22K",0,0,salary_jump_no_flag
WR,2020,2019,10723,"Sanu, Mohamed",0012,Hawks,Hawks,Veteran,Veteran,6000,16000,2.67,2,1,0,0,0,"Ext. Hawks '20 [6K, 16K] TCV 22K",0,0,salary_jump_no_flag
WR,2019,2018,10738,"Jones, Marvin",0008,Ulterior Warrior,#BLM,Veteran,Veteran GF,16000,15000,0.94,2,1,0,1,0,Ext Manther '19 (restructured) AAV 21K,0,0,restructure_only
WR,2017,2016,10903,"Matthews, Rishard",0005,,C'mon Son,,RESTRUCTURED,0,1000,,0,1,0,1,0,"Ext. Hood '17 [11K, 1K]",0,0,restructure_only
WR,2018,2017,11076,"Kearse, Jermaine",0002,Pure Greatness,The Bash Bros,STANDARD,Veteran,2000,3000,1.5,1,3,0,0,0,,0,0,salary_jump_no_flag;contract_year_reset_no_flag
WR,2019,2018,11222,"Allen, Keenan",0001,Gride,Ulterior Warrior,Veteran,Veteran GF,35000,55000,1.57,3,2,0,0,0,"Ext. PG '16 & '17, BB '18 Manther '19/'20",0,0,salary_jump_no_flag
WR,2017,2016,11227,"Stills, Kenny",0002,,Crystal Blue Persuasian,,RESTRUCTURE,0,11000,,0,2,0,1,0,"Ext. Gordon '18 [11K, 1K]",0,0,restructure_only
WR,2020,2019,11228,"Woods, Robert",0006,C-Town Chivalry,Good in Da Hood,Veteran GF,Veteran,18000,31000,1.72,1,1,0,0,0,,0,0,salary_jump_no_flag
WR,2021,2020,11228,"Woods, Robert",0006,Good in Da Hood,Good in Da Hood,Veteran,FL,31000,66000,2.13,1,2,0,0,0,"CL 2| TCV 82K| AAV 41K| (66,16)",0,0,salary_jump_no_flag
WR,2019,2018,11670,"Watkins, Sammy",0009,Pure Greatness,C-Town Chivalry,Veteran,FL,35000,27000,0.77,1,3,0,0,0,"[27K, 12K, 6K] AAV 15K TCV 45K",0,0,contract_year_reset_no_flag
WR,2021,2020,11670,"Watkins, Sammy",0008,#BLM,#BLM,WW,Veteran,7000,1000,0.14,1,3,0,0,0,CL 3| TCV 3K| AAV 1K,0,0,contract_year_reset_no_flag
WR,2024,2023,11671,"Evans, Mike",0012,Real Deal Creel,Hawks,FL,Veteran,19000,24000,1.26,1,3,0,0,0,"CL 3| TCV 72K| AAV 24K| Y1-24, Y2-24, Y3-24",0,0,contract_year_reset_no_flag
WR,2018,2017,11672,"Lee, Marqise",0009,C-Town Chivalry,C-Town Chivalry,STANDARD,FL,15000,14000,0.93,1,3,0,0,0,"[14, 9, 4] (AAV 9)",0,0,contract_year_reset_no_flag
WR,2020,2019,11672,"Lee, Marqise",0005,Run CMC,Run CMC,BL,BL,6000,9000,1.5,2,1,0,0,0,AAV 9K TCV 13K,0,0,salary_jump_no_flag
WR,2021,2020,11674,"Cooks, Brandin",0004,The Bash Bros,Pure Greatness,BL,FL,43000,20000,0.47,1,3,0,0,0,"CL 3| TCV 27K| AAV 9K| (20,4,3)",0,0,contract_year_reset_no_flag
