season,franchise_id,team_name,era,player_id,player_name,position,nfl_team,weeks_started,playoff_weeks_started,total_pts_started,playoff_pts_started,ppg_started,avg_salary,min_contract_year,max_contract_year,contract_status_last
2019,0007,Sex Manther,1QB,8713,"Weddle, Eric",S,LAR,4,3,24.0,23.2,6.0,1000,1,1,WW
2019,0007,Sex Manther,1QB,10697,"Tannehill, Ryan",QB,TEN,1,0,23.5,0.0,23.5,6000,1,1,WW
2019,0007,Sex Manther,1QB,12635,"Williams, Jonathan",RB,IND,1,0,21.7,0.0,21.7,21000,1,1,WW
2019,0007,Sex Manther,1QB,12779,"Campbell, De'Vondre",LB,ATL,2,2,21.5,21.5,10.75,1000,1,1,WW
2019,0007,Sex Manther,1QB,12736,"Neal, Keanu",S,ATL,3,0,17.2,0.0,5.73,11000,1,1,Veteran GF
2019,0007,Sex Manther,1QB,13245,"Reddick, Haason",LB,ARI,2,0,15.5,0.0,7.75,1000,1,1,WW
2019,0007,Sex Manther,1QB,13980,"Badgley, Mike",PK,LAC,2,0,15.4,0.0,7.7,1000,1,1,WW
2019,0007,Sex Manther,1QB,9464,"Matthews, Clay",LB,LAR,3,0,15.0,0.0,5.0,1000,1,1,WW
2019,0007,Sex Manther,1QB,14717,"McLaughlin, Chase",PK,IND,1,0,14.4,0.0,14.4,1000,1,1,WW
2019,0007,Sex Manther,1QB,12785,"Robinson, Demarcus",WR,KCC,2,0,14.0,0.0,7.0,1000,1,1,WW
2019,0007,Sex Manther,1QB,13201,"Barnett, Derek",DE,PHI,4,0,14.0,0.0,3.5,5000,2,2,Veteran
2019,0007,Sex Manther,1QB,12481,"Hewitt, Neville",LB,NYJ,1,0,8.5,0.0,8.5,1000,1,1,WW
2019,0007,Sex Manther,1QB,13631,"Washington, James",WR,PIT,1,1,7.9,7.9,7.9,5000,2,2,Rookie GF
2019,0007,Sex Manther,1QB,10973,"Beasley, Cole",WR,BUF,1,0,5.5,0.0,5.5,4000,1,1,WW
2019,0007,Sex Manther,1QB,12241,"Johnson, A.J.",LB,DEN,1,1,5.5,5.5,5.5,1000,1,1,WW
2019,0007,Sex Manther,1QB,13869,"Bojorquez, Corey",PN,BUF,1,0,4.0,0.0,4.0,2000,1,1,WW
2019,0007,Sex Manther,1QB,12181,"Agholor, Nelson",WR,PHI,1,0,0.0,0.0,0.0,1000,3,3,Veteran
2019,0007,Sex Manther,1QB,13447,"Wilson, Eric",LB,MIN,1,0,0.0,0.0,0.0,1000,1,1,WW
2020,0002,The Bash Bros,1QB,13589,"Allen, Josh",QB,BUF,14,2,421.8,84.3,30.13,8000,3,3,Veteran
2020,0002,The Bash Bros,1QB,13164,"Kupp, Cooper",WR,LAR,14,2,215.6,25.0,15.4,22000,2,2,Veteran
2020,0002,The Bash Bros,1QB,14071,"Montgomery, David",RB,CHI,13,2,206.5,50.1,15.88,14000,2,2,Rookie GF
2020,0002,The Bash Bros,1QB,11674,"Cooks, Brandin",WR,HOU,11,2,184.0,42.6,16.73,43000,1,1,BL
2020,0002,The Bash Bros,1QB,13230,"Adams, Jamal",S,SEA,10,2,138.0,26.6,13.8,7000,2,2,Veteran GF
2020,0002,The Bash Bros,1QB,12701,"Smith, Jaylon",LB,DAL,14,2,128.0,21.0,9.14,4000,2,2,Veteran
2020,0002,The Bash Bros,1QB,13198,"Garrett, Myles",DE,CLE,12,2,125.5,17.0,10.46,10000,2,2,Veteran
2020,0002,The Bash Bros,1QB,12956,"Lutz, Wil",PK,NOS,14,2,124.2,13.0,8.87,2000,1,1,Veteran
2020,0002,The Bash Bros,1QB,12301,"Smith, Za'Darius",LB,GBP,12,1,107.0,7.5,8.92,1000,1,1,WW
2020,0002,The Bash Bros,1QB,9925,"Graham, Jimmy",TE,CHI,8,1,104.1,23.7,13.01,1000,1,1,WW
2020,0002,The Bash Bros,1QB,9430,"Jenkins, Malcolm",S,NOS,11,2,103.5,31.5,9.41,2000,1,1,WW
2020,0002,The Bash Bros,1QB,14833,"Jeudy, Jerry",WR,DEN,8,0,100.2,0.0,12.53,10000,3,3,Rookie
2020,0002,The Bash Bros,1QB,13131,"Mixon, Joe",RB,CIN,6,0,99.4,0.0,16.57,33000,2,2,Veteran
2020,0002,The Bash Bros,1QB,14080,"Singletary, Devin",RB,BUF,9,1,86.5,7.0,9.61,5000,2,2,Rookie GF
2020,0002,The Bash Bros,1QB,12676,"Henry, Hunter",TE,LAC,8,1,84.2,18.5,10.53,25000,3,3,Veteran
2020,0002,The Bash Bros,1QB,13430,"Haack, Matt",PN,MIA,12,2,79.0,10.0,6.58,1000,1,1,Veteran
2020,0002,The Bash Bros,1QB,13713,"Fitzpatrick, Minkah",S,PIT,7,2,71.1,21.0,10.16,1000,1,1,Rookie GF
2020,0002,The Bash Bros,1QB,12181,"Agholor, Nelson",WR,LVR,4,2,60.2,40.8,15.05,1000,2,2,Veteran
2020,0002,The Bash Bros,1QB,11783,"Brown, John",WR,BUF,5,0,54.4,0.0,10.88,4000,2,2,Veteran
2020,0002,The Bash Bros,1QB,13135,"Gallman, Wayne",RB,NYG,4,1,53.9,2.9,13.47,10000,1,1,WW
2020,0002,The Bash Bros,1QB,14186,"Rapp, Taylor",S,LAR,7,0,52.5,0.0,7.5,1000,2,2,Rookie GF
2020,0002,The Bash Bros,1QB,13716,"Edmunds, Terrell",S,PIT,6,0,35.7,0.0,5.95,1000,1,1,WW
2020,0002,The Bash Bros,1QB,11193,"Bernard, Giovani",RB,CIN,3,1,34.9,19.1,11.63,2000,1,1,WW
2020,0002,The Bash Bros,1QB,11721,"Mack, Khalil",LB,CHI,5,0,33.5,0.0,6.7,11000,2,2,Veteran GF
2020,0002,The Bash Bros,1QB,14136,"Samuel, Deebo",WR,SFO,3,0,31.8,0.0,10.6,5000,2,2,Rookie GF
2020,0002,The Bash Bros,1QB,12656,"Higgins, Rashard",WR,CLE,2,1,22.1,12.2,11.05,8000,1,1,WW
2020,0002,The Bash Bros,1QB,10266,"Heyward, Cameron",DE,PIT,3,1,18.0,9.0,6.0,3000,1,1,WW
2020,0002,The Bash Bros,1QB,12797,"Ioannidis, Matt",DT,WAS,3,0,18.0,0.0,6.0,4000,1,1,Veteran
2020,0002,The Bash Bros,1QB,13284,"Hendrickson, Trey",DE,NOS,2,0,15.5,0.0,7.75,1000,1,1,WW
2020,0002,The Bash Bros,1QB,14227,"Wishnowsky, Mitch",PN,SFO,2,0,15.0,0.0,7.5,1000,1,1,WW
2020,0002,The Bash Bros,1QB,12225,"Williams, Leonard",DE,NYG,2,1,13.0,1.0,6.5,1000,1,1,WW
2020,0002,The Bash Bros,1QB,12716,"Mills, Jalen",S,PHI,1,0,11.1,0.0,11.1,1000,1,1,WW
2020,0002,The Bash Bros,1QB,7813,"Smith, Alex",QB,WAS,1,0,9.8,0.0,9.8,1000,1,1,WW
2020,0002,The Bash Bros,1QB,13607,"Michel, Sony",RB,NEP,1,0,9.7,0.0,9.7,13000,1,1,Rookie GF
2020,0002,The Bash Bros,1QB,11283,"Richardson, Sheldon",DT,CLE,2,0,9.0,0.0,4.5,1000,1,1,WW
2020,0002,The Bash Bros,1QB,9853,"Hughes, Jerry",DE,BUF,1,0,8.5,0.0,8.5,1000,1,1,WW
2020,0002,The Bash Bros,1QB,11516,"Doyle, Jack",TE,IND,1,0,8.3,0.0,8.3,7000,2,2,Veteran
2020,0002,The Bash Bros,1QB,12745,"Jones, Deion",LB,ATL,1,1,8.0,8.0,8.0,3000,1,1,WW
2020,0002,The Bash Bros,1QB,12234,"Dupree, Bud",LB,PIT,1,0,7.5,0.0,7.5,1000,1,1,WW
2020,0002,The Bash Bros,1QB,9694,"Gano, Graham",PK,NYG,1,0,7.3,0.0,7.3,1000,1,1,WW
2020,0002,The Bash Bros,1QB,9826,"Graham, Brandon",DE,PHI,2,0,7.0,0.0,3.5,2000,1,1,WW
2020,0002,The Bash Bros,1QB,11660,"Freeman, Devonta",RB,FA,1,0,6.5,0.0,6.5,1000,1,1,Veteran
2020,0002,The Bash Bros,1QB,13208,"Allen, Jonathan",DT,WAS,1,0,6.0,0.0,6.0,1000,1,1,WW
2020,0002,The Bash Bros,1QB,15032,"Fox, Jack",PN,DET,1,0,4.0,0.0,4.0,3000,1,1,WW
2020,0002,The Bash Bros,1QB,13129,"Fournette, Leonard",RB,TBB,1,0,3.8,0.0,3.8,31000,2,2,Veteran
2020,0002,The Bash Bros,1QB,13849,"Nall, Ryan",RB,CHI,1,0,2.8,0.0,2.8,1000,1,1,WW
2020,0002,The Bash Bros,1QB,8658,"Peterson, Adrian",RB,DET,1,0,1.8,0.0,1.8,1000,1,1,WW
2020,0002,The Bash Bros,1QB,10554,"Addison, Mario",DE,BUF,1,0,1.5,0.0,1.5,1000,1,1,WW
2020,0002,The Bash Bros,1QB,9825,"Dunlap, Carlos",DE,SEA,1,0,1.5,0.0,1.5,1000,1,1,WW
2020,0002,The Bash Bros,1QB,11679,"Beckham, Odell",WR,CLE,1,0,0.0,0.0,0.0,48000,2,2,Veteran
2021,0011,Cleon Ca$h,1QB,13164,"Kupp, Cooper",WR,LAR,15,2,416.9,46.6,27.79,22000,3,3,Veteran
2021,0011,Cleon Ca$h,1QB,7836,"Rodgers, Aaron",QB,GBP,14,2,387.9,55.7,27.71,60000,2,2,FL
2021,0011,Cleon Ca$h,1QB,15254,"Harris, Najee",RB,PIT,14,2,291.9,48.4,20.85,13000,3,3,Rookie
2021,0011,Cleon Ca$h,1QB,15284,"Waddle, Jaylen",WR,MIA,11,2,191.8,35.1,17.44,10000,3,3,Rookie
2021,0011,Cleon Ca$h,1QB,14852,"Gibson, Antonio",RB,WAS,12,0,165.3,0.0,13.78,5000,2,2,Rookie
2021,0011,Cleon Ca$h,1QB,10976,"Tucker, Justin",PK,BAL,15,2,157.3,18.8,10.49,1000,2,2,FL
2021,0011,Cleon Ca$h,1QB,13672,"Gesicki, Mike",TE,MIA,11,0,129.7,0.0,11.79,1000,3,3,Veteran
2021,0011,Cleon Ca$h,1QB,14167,"Allen, Josh",DE,JAC,13,0,118.0,0.0,9.08,2000,1,1,Rookie GF
