year,player_id,nominator_fid,winner_fid,winning_bid_dollars,first_bid_at_utc,won_at_utc,duration_hrs_raw,duration_hrs_capped48,total_bids,forced_increases,overtakes,by_commish
2021,13863,0006,0006,2000,2021-08-07 03:51:37,2021-08-08 10:18:52,30.45,30.45,2,1,0,0
2021,13919,0010,0001,4000,2021-07-31 20:34:55,2021-08-01 20:53:21,24.31,24.31,3,1,1,0
2021,14095,0008,0008,4000,2021-08-08 11:10:20,2021-08-10 11:01:07,47.85,47.85,4,1,2,0
2021,14122,0002,0008,2000,2021-08-04 18:11:00,2021-08-05 18:59:18,24.8,24.8,2,0,1,0
2021,14127,0010,0006,4000,2021-08-03 10:34:09,2021-08-04 12:08:26,25.57,25.57,4,2,1,0
2021,14157,0001,0001,2000,2021-08-06 03:56:27,2021-08-07 03:57:07,24.01,24.01,2,1,0,0
2021,14163,0011,0011,3000,2021-08-04 17:49:09,2021-08-06 15:05:07,45.27,45.27,3,0,2,0
2021,14225,0008,0011,3000,2021-08-04 07:36:01,2021-08-06 15:05:07,55.48,48.0,3,0,2,0
2021,14256,0007,0001,2000,2021-08-01 00:33:05,2021-08-02 01:55:13,25.37,25.37,2,0,1,0
2021,14265,0001,0001,2000,2021-08-04 03:48:34,2021-08-05 03:49:01,24.01,24.01,2,1,0,0
2021,14412,0007,0007,4000,2021-08-03 02:53:52,2021-08-05 02:33:25,47.66,47.66,4,1,2,0
2021,14811,0001,0012,5000,2021-08-04 03:48:01,2021-08-06 03:27:40,47.66,47.66,3,1,1,0
2021,14818,0007,0007,3000,2021-08-05 10:59:43,2021-08-06 11:15:26,24.26,24.26,3,2,0,0
2021,14991,0002,0007,3000,2021-08-03 13:44:33,2021-08-04 17:15:01,27.51,27.51,3,1,1,0
2021,15034,0009,0006,2000,2021-08-05 11:37:32,2021-08-06 16:56:15,29.31,29.31,2,0,1,0
2021,15337,0007,0008,4000,2021-08-06 21:54:48,2021-08-08 00:30:25,26.59,26.59,3,1,1,0
2021,15419,0003,0004,2000,2021-08-10 01:21:56,2021-08-11 16:35:10,39.22,39.22,2,0,1,0
2021,7401,0003,0004,5000,2021-08-02 12:45:11,2021-08-05 00:04:37,59.32,48.0,5,1,3,0
2021,7836,0007,0011,39000,2021-07-31 20:36:07,2021-08-04 10:28:29,85.87,48.0,10,4,5,0
2021,8062,0010,0001,3000,2021-08-02 11:05:12,2021-08-04 02:31:24,39.44,39.44,2,0,1,0
2021,9833,0001,0001,2000,2021-08-01 13:55:15,2021-08-02 13:59:01,24.06,24.06,2,1,0,0
2022,10261,0005,0012,3000,2022-08-04 11:35:31,2022-08-06 03:09:33,39.57,39.57,3,1,1,0
2022,10266,0001,0001,3000,2022-07-31 13:55:50,2022-08-01 14:02:07,24.1,24.1,3,2,0,0
2022,10267,0012,0012,3000,2022-08-02 04:13:35,2022-08-04 02:53:25,46.66,46.66,3,0,2,0
2022,10271,0006,0002,5000,2022-07-30 23:31:47,2022-08-01 00:22:39,24.85,24.85,4,1,2,0
2022,10272,0009,0009,2000,2022-08-02 10:31:46,2022-08-03 10:31:51,24.0,24.0,2,1,0,0
2022,10276,0005,0005,4000,2022-07-31 04:00:20,2022-08-01 04:01:02,24.01,24.01,4,3,0,0
2022,10697,0007,0012,16000,2022-07-31 01:21:10,2022-08-03 03:43:15,74.37,48.0,9,2,6,0
2022,10700,0004,0003,37000,2022-07-30 16:10:49,2022-07-31 17:39:45,25.48,25.48,12,8,3,0
2022,10768,0007,0007,2000,2022-07-31 01:22:18,2022-08-01 01:22:41,24.01,24.01,2,1,0,0
2022,10775,0012,0001,9000,2022-08-02 04:14:19,2022-08-03 12:20:39,32.11,32.11,4,0,3,0
2022,10783,0004,0005,4000,2022-08-01 10:11:22,2022-08-02 12:45:28,26.57,26.57,4,2,1,0
2022,11150,0003,0003,5000,2022-08-02 16:25:45,2022-08-04 19:33:52,51.14,48.0,5,1,3,0
2022,11182,0006,0006,2000,2022-08-03 04:32:10,2022-08-04 04:32:21,24.0,24.0,2,1,0,0
2022,11228,0002,0001,13000,2022-07-30 16:23:50,2022-07-31 17:13:38,24.83,24.83,4,2,1,0
2022,11232,0008,0002,32000,2022-07-30 17:27:48,2022-08-02 12:46:50,67.32,48.0,12,8,3,0
